id,title,external_id,overview,vote_average,poster_path
1,The Addams Family 2,639721,The Addams get tangled up in more wacky adventures and find themselves involved in hilarious run-ins with all sorts of unsuspecting characters.,7,/xYLBgw7dHyEqmcrSk2Sq3asuSq5.jpg
2,Venom: Let There Be Carnage,580489,"After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady.",7,/rjkmN1dniUHVYAtwuV3Tji7FsDO.jpg
3,Deathstroke: Knights & Dragons - The Movie,703771,The assassin Deathstroke tries to save his family from the wrath of H.I.V.E. and the murderous Jackal.,6,/vFIHbiy55smzi50RmF8LQjmpGcx.jpg
4,Venom,335983,"Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of Venom, a violent, super powerful alien symbiote. Soon, he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own.",6,/2uNW4WbgBXL25BAbXGLnLqX71Sw.jpg
5,Snake Eyes: G.I. Joe Origins,568620,"After saving the life of their heir apparent, tenacious loner Snake Eyes is welcomed into an ancient Japanese clan called the Arashikage where he is taught the ways of the ninja warrior. But, when secrets from his past are revealed, Snake Eyes' honor and allegiance will be tested – even if that means losing the trust of those closest to him.",6,/uIXF0sQGXOxQhbaEaKOi2VYlIL0.jpg
6,The Seven Deadly Sins: Cursed by Light,843241,"With the help of the ""Dragon Sin of Wrath"" Meliodas and the worst rebels in history, the Seven Deadly Sins, the ""Holy War"", in which four races, including Humans, Goddesses, Fairies and Giants fought against the Demons, is finally over. At the cost of the ""Lion Sin of Pride"" Escanor's life, the Demon King was defeated and the world regained peace. After that, each of the Sins take their own path.",8,/k0ThmZQl5nHe4JefC2bXjqtgYp0.jpg
7,Cosmic Sin,681887,"In the year 2524, four centuries after humans started colonizing the outer planets, retired General James Ford gets called back into service when a hostile alien fleet attacks soldiers on a remote planet. The threat against mankind soon escalates into an interstellar war as Ford and a team of elite soldiers try to stop the imminent attack before it's too late.",4,/6Wm7P6y22UZA40QuPYHyWyJ6leI.jpg
8,The Last Warrior: Root of Evil,589754,"Peace and tranquility have set in Belogorie. The evil was defeated and Ivan is now enjoying his well-deserved fame. He is surrounded by his family, friends and small wonders from the modern world that help him lead a comfortable life. Luckily, he has his Magic Sword to cut a gap between the worlds to get some supplies quite regularly. But when an ancient evil rises and the existence of the magic world is put to danger, Ivan has to team up with his old friends and his new rivals. They will set out on a long journey beyond the known world to find a way to defeat the enemies and to return peace to Belogorie.",7,/5VJSIAhSn4qUsg5nOj4MhQhF5wQ.jpg
9,The Many Saints of Newark,524369,"Young Anthony Soprano is growing up in one of the most tumultuous eras in Newark, N.J., history, becoming a man just as rival gangsters start to rise up and challenge the all-powerful DiMeo crime family. Caught up in the changing times is the uncle he idolizes, Dickie Moltisanti, whose influence over his nephew will help shape the impressionable teenager into the all-powerful mob boss, Tony Soprano.",6,/1UkbPQspPbq1FPbFP4VV1ELCfSN.jpg
10,The Stronghold,637534,"A police brigade working in the dangerous northern neighborhoods of Marseille, where the level of crime is higher than anywhere else in France.",7,/nLanxl7Xhfbd5s8FxPy8jWZw4rv.jpg
11,Dragon Fury,839436,A group of soldiers are taken to the mountains of Wales to investigate a strange beast.,5,/6WcJ4cV2Y3gnTYp5zHu968TYmTJ.jpg
12,Shang-Chi and the Legend of the Ten Rings,566525,Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization.,7,/1BIoJGKbXjdFDAqUEiA2VHqkK1Z.jpg
13,Solitary,725273,"A man wakes up inside a room to discover he's a prisoner sent into space to form Earth's first colony, and worse - his cell mate Alana is hell bent on destroying everything.",6,/ApwmbrMlsuOay5rXQA4Kbz7qJAl.jpg
14,F9,385128,Dominic Toretto and his crew battle the most skilled assassin and high-performance driver they've ever encountered: his forsaken brother.,7,/bOFaAXmWWXC3Rbv4u4uM9ZSzRXP.jpg
15,The Suicide Squad,436969,"Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.",7,/kb4s0ML0iVZlG6wAKbbs9NAm6X.jpg
16,Crazy Fist,859041,"After an opponent dies mid-match, a prominent MMA champion swore never to fight again and retired to run his family's company. But when his best friend dies under suspicious circumstances, he has no choice but to step back in the ring.",7,/jVAEVDNdUPRKJ7hJ4zt6lGcLATD.jpg
17,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,635302,"Tanjirō Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyōjurō Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!",8,/h8Rb9gBr48ODIwYUttZNYeMWeUU.jpg
18,The Boss Baby: Family Business,459151,The Templeton brothers — Tim and his Boss Baby little bro Ted — have become adults and drifted away from each other. But a new boss baby with a cutting-edge approach and a can-do attitude is about to bring them together again … and inspire a new family business.,7,/uWStkK8bq9ixY3fc7y209ZleCoF.jpg
19,Jungle Cruise,451048,"Dr. Lily Houghton enlists the aid of wisecracking skipper Frank Wolff to take her down the Amazon in his dilapidated boat. Together, they search for an ancient tree that holds the power to heal – a discovery that will change the future of medicine.",7,/9dKCd55IuTT5QRs989m9Qlb7d2B.jpg
20,Catch the Bullet,859860,"U.S. marshal Britt MacMasters returns from a mission to find his father wounded and his son kidnapped by the outlaw Jed Blake. Hot on their trail, Britt forms a posse with a gunslinging deputy and a stoic Pawnee tracker. But Jed and Britt tread dangerously close to the Red Desert’s Sioux territory.",5,/7PoomidF9HlMKXcAyOJ87lGkhSp.jpg
21,PAW Patrol: The Movie,675445,Ryder and the pups are called to Adventure City to stop Mayor Humdinger from turning the bustling metropolis into a state of chaos.,7,/ic0intvXZSfBlYPIvWXpU1ivUCO.jpg
22,Escape The Undertaker,871875,"The Undertaker has set a trap for the decorated tag team The New Day at his mansion. What they don't know: The Undertaker's mansion is an extreme Haunted House, packed to the brim with supernatural challenges. It's up to viewers to decide the fate of these poor souls trying to survive the wrath of The Undertaker.",4,/6RoJ0nJ9vZyel6XU0qUz9jLaeVK.jpg
26,SAS: Red Notice,595743,"An off-duty SAS soldier, Tom Buckingham, must thwart a terror attack on a train running through the Channel Tunnel. As the action escalates on the train, events transpire in the corridors of power that may make the difference as to whether Buckingham and the civilian passengers make it out of the tunnel alive.",6,/6Y9fl8tD1xtyUrOHV2MkCYTpzgi.jpg
